sno,subject,vol,lesson,qno,question,question_image,option_1,option_1_image,option_2,option_2_image,option_3,option_3_image,option_4,option_4_image,answer,answer_image
1,physics,Vol1,1,1,"Two identical point charges of magnitude –q are fixed as shown in the figure. A third charge +q is placed midway between the two charges at the point P. Suppose this charge +q is displaced a small distance from the point P in the directions indicated by the arrows, in which direction(s) will +q be stable with respect to the displacement?",physics_image_1.png,$A_1$ and $A_2$,,$B_1$ and $B_2$,,Both directions,,No stable,,$B_1$ and $B_2$,
2,physics,Vol1,1,2,"Which charge configuration produces a uniform electric field?",,Point charge,,Uniformly charged infinite line,,Uniformly charged infinite plane,,Uniformly charged spherical shell,,Uniformly charged infinite plane,
3,physics,Vol1,1,3,"What is the ratio of the charges $\left|\frac{q_1}{q_2}\right|$ for the following electric field line pattern?",physics_image_2.png,$\frac{1}{5}$,,$\frac{25}{11}$,,5,,$\frac{11}{25}$,,5,
4,physics,Vol1,1,4,"An electric dipole is placed at an alignment angle of $30°$ with an electric field of $2 \times 10^5$ N C$^{-1}$. It experiences a torque equal to 8 Nm. The charge on the dipole if the dipole length is 1 cm is",,4 mC,,8 mC,,5 mC,,7 mC,,8 mC,
5,physics,Vol1,1,5,"Four Gaussian surfaces are given below with charges inside each Gaussian surface. Rank the electric flux through each Gaussian surface in increasing order",physics_image_3.png,D < C < B < A,,A < B = C < D,,C < A = B < D,,D > C > B > A,,D < C < B < A,
6,physics,Vol1,1,6,"The total electric flux for the following closed surface which is kept inside water",physics_image_4.png,"$\frac{80q}{\varepsilon_0}$",,"$\frac{q}{40\varepsilon_0}$",,"$\frac{q}{80\varepsilon_0}$",,"$\frac{q}{160\varepsilon_0}$",,"$\frac{q}{80\varepsilon_0}$",
7,physics,Vol1,1,7,"Two identical conducting balls having positive charges $q_1$ and $q_2$ are separated by a center-to-center distance r. If they are made to touch each other and then separated to the same distance, the force between them will be",,less than before,,same as before,,more than before,,zero,,more than before,
8,physics,Vol1,1,8,"Rank the electrostatic potential energies for the given system of charges in increasing order",physics_image_5.png,1 = 4 < 2 < 3,,2 = 4 < 3 < 1,,2 = 3 < 1 < 4,,3 < 1 < 2 < 4,,2 = 4 < 3 < 1,
9,physics,Vol1,1,9,"An electric field $\vec{E} = 10\hat{i}$ exits in a certain region of space. Then the potential difference $V = V_o - V_A$, where $V_o$ is the potential at the origin and $V_A$ is the potential at x = 2 m is",,10 V,,–20 V,,+20 V,,–10 V,,–20 V,
10,physics,Vol1,1,10,"A thin conducting spherical shell of radius R has a charge Q which is uniformly distributed on its surface. The correct plot for electrostatic potential due to this spherical shell is",physics_image_6.png,Option A,,Option B,,Option C,,Option D,,Option B,
11,physics,Vol1,1,11,"Two points A and B are maintained at a potential of 7 V and –4 V respectively. The work done in moving 50 electrons from A to B is",,$8.80 \times 10^{-17}$ J,,$-8.80 \times 10^{-17}$ J,,$4.40 \times 10^{-17}$ J,,$5.80 \times 10^{-17}$ J,,$8.80 \times 10^{-17}$ J,
12,physics,Vol1,1,12,"If voltage applied on a capacitor is increased from V to 2V, choose the correct conclusion.",,Q remains the same C is doubled,,Q is doubled C is doubled,,C remains same Q doubled,,Both Q and C remain same,,C remains same Q doubled,
13,physics,Vol1,1,13,"A parallel plate capacitor stores a charge Q at a voltage V. Suppose the area of the parallel plate capacitor and the distance between the plates are each doubled then which is the quantity that will change?",,Capacitance,,Charge,,Voltage,,Energy density,,Charge,
14,physics,Vol1,1,14,"Three capacitors are connected in triangle as shown in the figure. The equivalent capacitance between the points A and C is",physics_image_7.png,$1\ \mu F$,,$2\ \mu F$,,$3\ \mu F$,,$$\frac{1}{4}\ \mu F$$,,$1\ \mu F$,
15,physics,Vol1,1,15,"Two metallic spheres of radii 1 cm and 3 cm are given charges of $-1 \times 10^{-2}$ C and $5 \times 10^{-2}$ C respectively. If these are connected by a conducting wire, the final charge on the bigger sphere is",,$3 \times 10^{-2}$ C,,$4 \times 10^{-2}$ C,,$1 \times 10^{-2}$ C,,$2 \times 10^{-2}$ C,,$3 \times 10^{-2}$ C,
16,physics,Vol1,2,1,"The following graph shows current versus voltage values of some unknown conductor. What is the resistance of this conductor?",physics_image_8.png,2 ohm,,4 ohm,,8 ohm,,1 ohm,,2 ohm,
17,physics,Vol1,2,2,"A wire of resistance 2 ohms per meter is bent to form a circle of radius 1m. The equivalent resistance between its two diametrically opposite points A and B as shown in the figure is",physics_image_9.png,$\pi\ \Omega$,,$2\pi\ \Omega$,,$\frac{\pi}{2}\ \Omega$,,$\frac{\pi}{4}\ \Omega$,,$\frac{\pi}{2}\ \Omega$,
18,physics,Vol1,2,3,"A toaster operating at 240 V has a resistance of 120 $\Omega$. Its power is",,400 W,,2 W,,480 W,,240 W,,480 W,
19,physics,Vol1,2,4,"A carbon resistor of $(47 \pm 4.7)$ k$\Omega$ is to be marked with rings of different colours for its identification. The colour code sequence will be",,Yellow–Green–Violet–Gold,,Yellow–Violet–Orange–Silver,,Violet–Yellow–Orange–Silver,,Green–Orange–Violet–Gold,,Yellow–Violet–Orange–Silver,
20,physics,Vol1,2,5,"What is the value of resistance of the following resistor?",physics_image_10.png,$100\ k\Omega$,,$10\ k\Omega$,,$1\ k\Omega$,,$1000\ k\Omega$,,$10\ k\Omega$,
21,physics,Vol1,2,6,"Two wires A and B with circular cross section are made up of the same material with equal lengths. Suppose $R_A = 3R_B$, then what is the ratio of radius of wire A to that of B?",,3,,$\sqrt{3}$,,$\frac{1}{\sqrt{3}}$,,$\frac{1}{3}$,,$\frac{1}{\sqrt{3}}$,
22,physics,Vol1,2,7,"A wire connected to a power supply of 230 V has power dissipation $P_1$. Suppose the wire is cut into two equal pieces and connected parallel to the same power supply. In this case power dissipation is $P_2$. The ratio $\frac{P_2}{P_1}$ is",,1,,2,,3,,4,,4,
23,physics,Vol1,2,8,"In India electricity is supplied for domestic use at 220 V. It is supplied at 110 V in USA. If the resistance of a 60 W bulb for use in India is R, the resistance of a 60 W bulb for use in USA will be",,R,,2R,,$\frac{R}{4}$,,$\frac{R}{2}$,,$\frac{R}{4}$,
24,physics,Vol1,2,9,"In a large building, there are 15 bulbs of 40W, 5 bulbs of 100W, 5 fans of 80W and 1 heater of 1kW are connected. The voltage of electric mains is 220V. The maximum capacity of the main fuse of the building will be",,14 A,,8 A,,10 A,,12 A,,8 A,
25,physics,Vol1,2,10,"There is a current of 1.0 A in the circuit shown below. What is the resistance of P?",physics_image_11.png,$1.5\ \Omega$,,$2.5\ \Omega$,,$3.5\ \Omega$,,$4.5\ \Omega$,,$3.5\ \Omega$,
26,physics,Vol1,2,11,"What is the current drawn out from the battery?",physics_image_12.png,1 A,,2 A,,3 A,,4 A,,1 A,
27,physics,Vol1,2,12,"The temperature coefficient of resistance of a wire is 0.00125 per °C. At 20°C its resistance is 1 $\Omega$. The resistance of the wire will be 2 $\Omega$ at",,800°C,,700°C,,850°C,,820°C,,820°C,
28,physics,Vol1,2,13,"The internal resistance of a 2.1 V cell which gives a current of 0.2 A through a resistance of 10 $\Omega$ is",,$0.2\ \Omega$,,$0.5\ \Omega$,,$0.8\ \Omega$,,$1.0\ \Omega$,,$0.5\ \Omega$,
29,physics,Vol1,2,14,"A piece of copper and another of germanium are cooled from room temperature to 80 K. The resistance of",,each of them increases,,each of them decreases,,copper increases and germanium decreases,,copper decreases and germanium increases,,copper decreases and germanium increases,
30,physics,Vol1,2,15,"In Joule's heating law, when R and t are constant, if the H is taken along the y-axis of $I^2$ along the x–axis, the graph is",,straight line,,parabola,,circle,,ellipse,,straight line,
31,physics,Vol1,3,1,"The magnetic field at the center O of the following current loop is",physics_image_13.png,"$\frac{\mu_0 I}{4r} \otimes$",,"$\frac{\mu_0 I}{4r} \odot$",,"$\frac{\mu_0 I}{2r} \otimes$",,"$\frac{\mu_0 I}{2r} \odot$",,"$\frac{\mu_0 I}{4r} \odot$",
32,physics,Vol1,3,2,"An electron moves in a straight line inside a charged parallel plate capacitor of uniform charge density $\sigma$. The time taken by the electron to cross the parallel plate capacitor undeflected when the plates of the capacitor are kept under constant magnetic field of induction $\vec{B}$ is",physics_image_14.png,"$\varepsilon_0 \frac{elB}{\sigma}$",,"$\varepsilon_0 \frac{lB}{\sigma l}$",,"$\varepsilon_0 \frac{lB}{e\sigma}$",,"$\varepsilon_0 \frac{lB}{\sigma}$",,"$\varepsilon_0 \frac{lB}{e\sigma}$",
33,physics,Vol1,3,3,"A particle having mass m and charge q accelerated through a potential difference V. Find the force experienced when it is kept under perpendicular magnetic field $\vec{B}$",,$$\sqrt{\frac{2q^3BV}{m}}$$,,$$\sqrt{\frac{q^3B^2V}{2m}}$$,,$$\sqrt{\frac{2q^3B^2V}{m}}$$,,$$\sqrt{\frac{2q^3BV}{m^3}}$$,,$$\sqrt{\frac{2q^3B^2V}{m}}$$,
34,physics,Vol1,3,4,"A circular coil of radius 5 cm and 50 turns carries a current of 3 ampere. The magnetic dipole moment of the coil is nearly",,$1.0\ Am^2$,,$1.2\ Am^2$,,$0.5\ Am^2$,,$0.8\ Am^2$,,$1.2\ Am^2$,
35,physics,Vol1,3,5,"A thin insulated wire forms a plane spiral of N = 100 tight turns carrying a current I = 8 mA (milli ampere). The radii of inside and outside turns are a = 50 mm and b = 100 mm respectively. The magnetic induction at the center of the spiral is",,$5\ \mu T$,,$7\ \mu T$,,$8\ \mu T$,,$10\ \mu T$,,$10\ \mu T$,
36,physics,Vol1,3,6,"Three wires of equal lengths are bent in the form of loops. One of the loops is circle, another is a semi-circle and the third one is a square. They are placed in a uniform magnetic field and same electric current is passed through them. Which of the following loop configuration will experience greater torque?",,circle,,semi-circle,,square,,all of them,,circle,
37,physics,Vol1,3,7,"Two identical coils, each with N turns and radius R are placed coaxially at a distance R as shown in the figure. If I is the current passing through the loops in the same direction, then the magnetic field at a point P at a distance of $\frac{R}{2}$ from the centre of each coil is",physics_image_15.png,"$$\frac{8N\mu_0 I}{\sqrt{5}R}$$",,"$$\frac{8N\mu_0 I}{5^{3/2}R}$$",,"$$\frac{8N\mu_0 I}{5R}$$",,"$$\frac{4N\mu_0 I}{\sqrt{5}R}$$",,"$$\frac{8N\mu_0 I}{5^{3/2}R}$$",
38,physics,Vol1,3,8,"A wire of length l carrying a current I along the Y direction is kept in a magnetic field given by $\vec{B} = \frac{\beta}{\sqrt{3}}(\hat{i} + \hat{j} + \hat{k})$ T. The magnitude of Lorentz force acting on the wire is","","$$\sqrt{\frac{2}{3}}\beta Il$$","","$$\sqrt{\frac{1}{3}}\beta Il$$","","$$\sqrt{2}\beta Il$$","","$$\frac{1}{2}\beta Il$$","","$$\sqrt{\frac{2}{3}}\beta Il$$",
39,physics,Vol1,3,9,"A bar magnet of length l and magnetic moment $p_m$ is bent in the form of an arc as shown in figure. The new magnetic dipole moment will be",physics_image_16.png,$p_m$,,$\frac{3}{\pi}p_m$,,$\frac{2}{\pi}p_m$,,$\frac{1}{2}p_m$,,$\frac{3}{\pi}p_m$,
40,physics,Vol1,3,10,"A non-conducting charged ring carrying a charge of q, mass m and radius r is rotated about its axis with constant angular speed $\omega$. Find the ratio of its magnetic moment with angular momentum",,$$\frac{q}{m}$$,,$$\frac{2q}{m}$$,,$$\frac{q}{2m}$$,,$$\frac{q}{4m}$$,,$$\frac{q}{2m}$$,
41,physics,Vol1,3,11,"The BH curve for a ferromagnetic material is shown in the figure. The material is placed inside a long solenoid which contains 1000 turns/cm. The current that should be passed in the solenoid to demagnetize the ferromagnet completely is",physics_image_17.png,1.00 mA,,1.25 mA,,1.50 mA,,1.75 mA,,1.00 mA,
