sno,subject,vol,lesson,qno,question,question_image,option_1,option_1_image,option_2,option_2_image,option_3,option_3_image,option_4,option_4_image,answer,answer_image
1,cs,Vol1,1,1,The small sections of code that are used to perform a particular task is called,,Subroutines,,Files,,Pseudo code,,Modules,,Subroutines,
2,cs,Vol1,1,2,Which of the following is a unit of code that is often defined within a greater code structure?,,Subroutines,,Function,,Files,,Modules,,Function,
3,cs,Vol1,1,3,Which of the following is a distinct syntactic block?,,Subroutines,,Function,,Definition,,Modules,,Function,
4,cs,Vol1,1,4,The variables in a function definition are called as,,Subroutines,,Function,,Definition,,Modules,,Definition,
5,cs,Vol1,1,5,The values which are passed to a function definition are called,,Arguments,,Subroutines,,Function,,Definition,,Arguments,
6,cs,Vol1,1,6,Which of the following are mandatory to write the type annotations in the function definition?,,{ },,( ),,[ ],,<>,,( ),
7,cs,Vol1,1,7,Which of the following defines what an object can do?,,Operating System,,Compiler,,Interface,,Interpreter,,Interface,
8,cs,Vol1,1,8,Which of the following carries out the instructions defined in the interface?,,Operating System,,Compiler,,Implementation,,Interpreter,,Implementation,
9,cs,Vol1,1,9,The functions which will give exact result when same arguments are passed are called,,Impure functions,,Partial Functions,,Dynamic Functions,,Pure functions,,Pure functions,
10,cs,Vol1,1,10,The functions which cause side effects to the arguments passed are called,,Impure functions,,Partial Functions,,Dynamic Functions,,Pure functions,,Impure functions,

11,cs,Vol1,2,1,Which of the following functions that build the abstract data type?,,Constructors,,Destructors,,Recursive,,Nested,,Constructors,
12,cs,Vol1,2,2,Which of the following functions that retrieve information from the data type?,,Constructors,,Selectors,,Recursive,,Nested,,Selectors,
13,cs,Vol1,2,3,The data structure which is a mutable ordered sequence of elements is called,,Built in,,List,,Tuple,,Derived data,,List,
14,cs,Vol1,2,4,A sequence of immutable objects is called,,Built in,,List,,Tuple,,Derived data,,Tuple,
15,cs,Vol1,2,5,The data type whose representation is known are called,,Built in datatype,,Derived datatype,,Concrete datatype,,Abstract datatype,,Concrete datatype,
16,cs,Vol1,2,6,The data type whose representation is unknown are called,,Built in datatype,,Derived datatype,,Concrete datatype,,Abstract datatype,,Abstract datatype,
17,cs,Vol1,2,7,Which of the following is a compound structure?,,Pair,,Triplet,,Single,,Quadrat,,Pair,
18,cs,Vol1,2,8,Bundling two values together into one can be considered as,,Pair,,Triplet,,Single,,Quadrat,,Pair,
19,cs,Vol1,2,9,Which of the following allow to name the various parts of a multi-item object?,,Tuples,,Lists,,Classes,,Quadrats,,Classes,
20,cs,Vol1,2,10,Which of the following is constructed by placing expressions within square brackets?,,Tuples,,Lists,,Classes,,Quadrats,,Lists,

21,cs,Vol1,3,1,Which of the following refers to the visibility of variables in one part of a program to another part of the same program?,,Scope,,Memory,,Address,,Accessibility,,Scope,
22,cs,Vol1,3,2,The process of binding a variable name with an object is called,,Scope,,Mapping,,Late binding,,Early binding,,Mapping,
23,cs,Vol1,3,3,Which of the following is used in programming languages to map the variable and object?,,::,, :=,, =,, ==,,=,
24,cs,Vol1,3,4,Containers for mapping names of variables to objects is called,,Scope,,Mapping,,Binding,,Namespaces,,Namespaces,
25,cs,Vol1,3,5,Which scope refers to variables defined in current function?,,Local Scope,,Global scope,,Module scope,,Function Scope,,Local Scope,
26,cs,Vol1,3,6,The process of subdividing a computer program into separate sub programs is called,,Procedural Programming,,Modular programming,,Event Driven Programming,,Object oriented Programming,,Modular programming,
27,cs,Vol1,3,7,Which of the following security technique that regulates who can use resources in a computing environment?,,Password,,Authentication,,Access control,,Certification,,Access control,
28,cs,Vol1,3,8,Which of the following members of a class can be handled only from within the class?,,Public members,,Protected members,,Secured members,,Private members,,Private members,
29,cs,Vol1,3,9,Which members are accessible from outside the class?,,Public members,,Protected members,,Secured members,,Private members,,Public members,
30,cs,Vol1,3,10,The members that are accessible from within the class and are also available to its sub classes is called,,Public members,,Protected members,,Secured members,,Private members,,Protected members,

31,cs,Vol1,4,1,The word comes from the name of a Persian mathematician Abu Ja’far Mohammed ibn-i Musaal Khowarizmi is called?,,Flowchart,,Flow,,Algorithm,,Syntax,,Algorithm,
32,cs,Vol1,4,2,From the following sorting algorithms which algorithm needs the minimum number of swaps?,,Bubble sort,,Insertion sort,,Selection sort,,All the above,,Selection sort,
33,cs,Vol1,4,3,Two main measures for the efficiency of an algorithm are,,Processor and memory,,Complexity and capacity,,Time and space,,Data and space,,Time and space,
34,cs,Vol1,4,4,The algorithm that yields expected output for a valid input is called,,Algorithmic solution,,Algorithmic outcomes,,Algorithmic problem,,Algorithmic coding,,Algorithmic solution,
35,cs,Vol1,4,5,Which of the following is used to describe the worst case of an algorithm?,,Big A,,Big S,,Big W,,Big O,,Big O,
36,cs,Vol1,4,6,Big Ω is the reverse of,,Big O,,Big θ,,Big A,,Big S,,Big O,
37,cs,Vol1,4,7,Binary search is also called as,,Linear search,,Sequential search,,Random search,,Half-interval search,,Half-interval search,
38,cs,Vol1,4,8,The Θ notation in asymptotic evaluation represents,,Base case,,Average case,,Worst case,,NULL case,,Average case,
39,cs,Vol1,4,9,If a problem can be broken into subproblems which are reused several times the problem possesses which property?,,Overlapping subproblems,,Optimal substructure,,Memoization,,Greedy,,Overlapping subproblems,
40,cs,Vol1,4,10,In dynamic programming the technique of storing the previously calculated values is called?,,Saving value property,,Storing value property,,Memoization,,Mapping,,Memoization

